velocity,moving1,heartrate,grade,lat,lon
7.20E+00,0.00E+00,1.18E+02,-5.20E+00,4.44E+01,8.69E+00
1.43E+01,1.06E+02,1.38E+02,-5.20E+00,4.44E+01,8.66E+00
1.21E+01,0.00E+00,1.53E+02,-5.20E+00,4.44E+01,8.60E+00
1.56E+01,0.00E+00,1.33E+02,-5.20E+00,4.44E+01,8.59E+00
6.70E+00,0.00E+00,1.49E+02,-5.20E+00,4.44E+01,8.57E+00
6.70E+00,0.00E+00,1.60E+02,-5.20E+00,4.43E+01,8.47E+00
7.80E+00,0.00E+00,1.58E+02,-5.20E+00,4.43E+01,8.46E+00
9.50E+00,1.01E+02,1.37E+02,-5.10E+00,4.44E+01,8.95E+00
8.70E+00,8.90E+01,1.34E+02,-5.10E+00,4.44E+01,8.95E+00
1.26E+01,1.20E+02,1.52E+02,-5.10E+00,4.44E+01,8.91E+00
7.70E+00,0.00E+00,1.50E+02,-5.10E+00,4.44E+01,8.85E+00
1.08E+01,0.00E+00,1.09E+02,-5.10E+00,4.44E+01,8.62E+00
1.17E+01,0.00E+00,1.52E+02,-5.10E+00,4.44E+01,8.60E+00
1.36E+01,0.00E+00,1.47E+02,-5.10E+00,4.44E+01,8.60E+00
1.34E+01,1.90E+01,1.41E+02,-5.10E+00,4.44E+01,8.60E+00
1.42E+01,1.04E+02,1.41E+02,-5.10E+00,4.44E+01,8.60E+00
1.56E+01,1.13E+02,1.41E+02,-5.10E+00,4.44E+01,8.59E+00
1.16E+01,1.09E+02,1.52E+02,-5.10E+00,4.43E+01,8.55E+00
1.18E+01,1.09E+02,1.51E+02,-5.10E+00,4.43E+01,8.55E+00
5.20E+00,0.00E+00,1.70E+02,-5.10E+00,4.43E+01,8.47E+00
1.39E+01,1.04E+02,1.37E+02,-5.00E+00,4.44E+01,8.66E+00
1.00E+01,0.00E+00,1.05E+02,-5.00E+00,4.44E+01,8.62E+00
1.03E+01,9.20E+01,1.58E+02,-5.00E+00,4.44E+01,8.60E+00
1.37E+01,0.00E+00,1.47E+02,-5.00E+00,4.44E+01,8.60E+00
9.50E+00,0.00E+00,1.30E+02,-4.90E+00,4.44E+01,8.97E+00
9.00E+00,0.00E+00,1.41E+02,-4.90E+00,4.44E+01,8.76E+00
1.20E+01,0.00E+00,1.17E+02,-4.90E+00,4.44E+01,8.62E+00
1.19E+01,0.00E+00,1.16E+02,-4.90E+00,4.44E+01,8.62E+00
1.03E+01,9.20E+01,1.58E+02,-4.90E+00,4.44E+01,8.60E+00
1.14E+01,9.70E+01,1.41E+02,-4.90E+00,4.44E+01,8.60E+00
7.00E+00,0.00E+00,1.37E+02,-4.90E+00,4.43E+01,8.51E+00
9.90E+00,0.00E+00,1.31E+02,-4.80E+00,4.44E+01,8.97E+00
